"Coffee Cups/Day","Hours Studied","Previous Scores","Extracurricular Activities","Sleep Hours","Sample Question Papers Practiced","Performance Index"
3,7,99,1,9,1,91.
1,4,82,-1,4,2,65.
4,8,51,1,7,2,45.
1,5,52,1,5,2,36.
4,7,75,-1,8,5,66.
1,3,78,-1,9,6,61.
3,7,73,1,5,6,63.
3,8,45,1,4,6,42.
1,5,77,-1,8,2,61.
2,4,89,-1,4,0,69.
3,8,91,-1,4,5,84.
4,8,79,-1,6,2,73.
2,3,47,-1,9,2,27.
2,6,47,-1,4,2,33.
2,5,79,-1,7,8,68.
0,2,72,-1,4,3,43.
4,8,73,1,8,4,67.
2,6,83,1,7,2,70.
1,2,54,1,4,9,30.
1,5,75,-1,7,0,63.
0,1,99,1,4,3,71.
2,6,96,-1,9,0,85.
3,9,74,1,7,6,73.
0,1,85,-1,5,6,57.
1,3,61,-1,6,3,35.
3,7,62,1,7,4,49.
1,4,79,-1,8,9,66.
3,9,84,1,6,6,83.
2,3,94,1,6,5,74.
2,5,90,1,4,3,74.
1,3,61,1,7,3,39.
3,7,44,1,9,1,36.
1,5,70,1,6,9,58.
4,9,52,1,8,1,47.
4,7,67,1,9,3,60.
1,2,97,1,9,4,74.
2,4,59,-1,8,3,42.
4,9,72,-1,8,2,68.
0,2,55,1,4,1,32.
4,9,68,-1,5,3,64.
1,5,62,-1,7,4,45.
0,2,63,1,6,0,39.
1,4,73,1,7,0,58.
4,7,46,-1,9,5,36.
3,8,77,1,6,4,71.
2,3,76,1,4,3,54.
0,1,43,1,7,0,17.
1,4,73,-1,4,6,54.
1,2,81,1,4,3,58.
3,8,61,-1,7,2,53.
1,4,44,1,7,6,27.
1,2,89,1,6,1,65.
2,6,81,-1,9,9,75.
2,6,62,1,9,0,52.
1,4,93,-1,8,3,78.
3,6,99,-1,4,7,91.
0,2,54,1,9,5,33.
0,2,70,1,5,8,47.
1,4,98,-1,6,0,78.
4,8,48,-1,6,0,38.
3,7,82,1,8,4,70.
3,9,97,1,8,5,98.
4,8,92,1,4,7,87.
2,5,64,1,6,2,49.
0,2,64,1,6,5,41.
1,5,88,-1,5,2,71.
3,8,60,-1,4,7,54.
4,9,48,-1,4,3,42.
3,9,94,-1,9,1,91.
0,1,87,1,8,8,61.
3,9,77,-1,9,9,74.
3,7,61,1,4,7,54.
3,9,82,1,5,5,81.
3,8,62,1,4,2,52.
0,1,88,1,9,1,65.
3,8,43,1,7,3,36.
3,8,68,-1,7,3,61.
1,3,54,1,5,0,35.
-1,1,40,1,8,8,15.
3,8,93,1,6,9,88.
2,3,69,-1,4,7,45.
1,3,68,1,9,6,49.
-1,1,59,1,8,5,33.
1,5,72,1,9,2,60.
4,7,80,-1,8,3,71.
3,9,83,1,4,1,81.
3,7,75,-1,6,6,67.
4,9,99,-1,4,1,95.
3,8,61,1,6,9,58.
1,2,52,-1,9,0,29.
0,1,46,-1,5,5,21.
3,7,47,1,6,3,38.
3,7,67,1,8,7,60.
4,8,84,1,5,0,76.
1,5,82,1,9,8,69.
1,3,48,-1,7,5,30.
3,8,64,-1,5,1,57.
3,6,95,1,6,7,81.
2,3,55,1,5,4,36.
-1,1,49,1,9,4,25.
1,3,50,-1,5,4,27.
1,5,70,1,9,6,61.
2,3,51,-1,7,6,34.
-1,1,99,-1,6,9,76.
2,5,70,-1,8,6,57.
3,7,53,-1,5,9,45.
3,7,90,1,4,1,76.
4,9,83,1,8,7,83.
1,3,71,1,5,0,50.
3,7,89,-1,8,1,81.
0,1,92,-1,4,6,66.
1,4,56,1,8,3,38.
1,4,74,-1,8,9,56.
1,5,40,-1,4,9,25.
4,7,68,-1,4,8,56.
3,7,90,1,4,8,82.
1,4,43,1,7,2,23.
4,7,62,1,9,2,56.
2,3,67,-1,9,8,46.
2,6,55,1,4,9,43.
1,2,51,1,9,7,30.
4,9,92,1,8,0,92.
1,5,60,-1,4,5,45.
2,6,84,-1,5,6,70.
2,4,56,-1,4,7,36.
4,7,79,-1,4,1,71.
3,9,52,-1,9,0,49.
3,7,91,1,6,3,82.
0,1,97,1,8,0,71.
0,1,71,-1,9,1,43.
4,9,76,-1,8,2,77.
3,9,89,1,5,3,86.
2,4,54,-1,7,5,34.
3,9,51,-1,6,7,49.
1,3,88,-1,5,8,69.
3,7,96,-1,5,3,84.
3,6,54,-1,8,0,41.
4,8,73,1,6,4,68.
3,9,45,1,8,4,44.
2,5,56,-1,7,8,41.
0,1,87,-1,8,5,58.
2,3,88,1,4,4,68.
4,8,96,-1,8,9,94.
3,6,59,1,4,9,47.
4,8,48,-1,5,4,40.
3,9,98,1,7,7,100.
1,4,44,1,9,0,23.
0,1,62,-1,4,4,36.
-1,1,72,-1,7,0,47.
1,4,77,1,8,6,60.
3,7,95,-1,9,6,83.
0,2,53,1,8,9,33.
2,3,56,-1,5,7,36.
-1,1,96,-1,8,6,74.
2,5,58,-1,4,8,42.
-1,1,72,1,5,7,47.
4,8,40,1,7,7,31.
-1,1,52,-1,5,2,26.
0,1,85,1,7,9,58.
1,2,66,-1,6,3,42.
1,2,45,1,4,3,18.
3,6,98,-1,4,0,85.
3,7,45,1,7,5,36.
